,literature,temperatureOptimumMaximum,temperatureOptimum,commentary,organism,ecNumber
0,[656604],,22,assay at room temperature,Entamoeba histolytica,1.1.1.1
1,[721388],,22,assay at room temperature,Ogataea angusta,1.1.1.1
2,[655649],30,25,assay at,Saccharomyces cerevisiae,1.1.1.1
3,[654294],,25,,Pseudomonas fluorescens,1.1.1.1
4,[658321],,25,,Rhodococcus erythropolis,1.1.1.1
5,[655479],,25,assay at,Mus musculus,1.1.1.1
6,[654370],,25,assay at,Homo sapiens,1.1.1.1
7,[655197],,25,assay at,Homo sapiens,1.1.1.1
8,[655479],,25,assay at,Homo sapiens,1.1.1.1
9,[656058],,25,assay at,Homo sapiens,1.1.1.1
10,[722073],,25,assay at,Homo sapiens,1.1.1.1
11,[655735],,25,assay at,Saccharomyces cerevisiae,1.1.1.1
12,[747332],,25,assay at,Saccharomyces cerevisiae,1.1.1.1
13,[655058],,25,"assay at, forward and reverse reaction",Acetobacter pasteurianus,1.1.1.1
14,[695705],,25,"free enzyme, at 25&deg;C",Saccharomyces cerevisiae,1.1.1.1
15,[668532],,30,,Saccharomyces cerevisiae,1.1.1.1
16,[285639],,30,,Sporotrichum pulverulentum,1.1.1.1
17,[687134],,30,soluble enzyme,Saccharomyces cerevisiae,1.1.1.1
18,[721868],,30,assay at,[Candida] maris,1.1.1.1
19,[742936],,30,assay at,Citrobacter sp. S-77,1.1.1.1
20,[687850],,30,reduction of N-benzyl-3-pyrrolidinone,Magnusiomyces capitatus,1.1.1.1
21,[697669],,30,approximately 30&deg;C,Saccharomyces cerevisiae,1.1.1.1
22,[739927],,30,reduction of formaldehyde,Saccharomyces cerevisiae,1.1.1.1
23,[655206],37,30,assay at,Homo sapiens,1.1.1.1
24,[655206],37,30,assay at,Equus caballus,1.1.1.1
25,[655082],50,30,,Rhodococcus ruber,1.1.1.1
26,[659773],,33,,Neurospora crassa,1.1.1.1
27,[659674],,33,,Acinetobacter calcoaceticus,1.1.1.1
28,[684556],,35,,Candida parapsilosis,1.1.1.1
29,[695705],,35,immobilized enzyme,Saccharomyces cerevisiae,1.1.1.1
30,[655741],,35,Zn-ADH and Co-ADH,Saccharomyces cerevisiae,1.1.1.1
31,[722888],,35,"reductive reaction, recombinant enzymes expressed from Saccharomyces cerevisiae and Hansenula polymorpha",Rhodococcus ruber,1.1.1.1
32,[722888],,35,recombinant enzyme expressed in Hansenula polymorpha,Rhodococcus ruber,1.1.1.1
33,[722888],,35,recombinant enzyme expressed in Saccharomyces cerevisiae,Rhodococcus ruber,1.1.1.1
34,[739927],,35,"reduction of glycolaldehyde, furfural, butyraldehyde, and propionaldehyde",Saccharomyces cerevisiae,1.1.1.1
35,[655233],,37,assay at,Equus caballus,1.1.1.1
36,[745570],,37,assay at,Pyrococcus furiosus,1.1.1.1
37,[746525],,37,assay at,Pyrococcus furiosus,1.1.1.1
38,[722888],,39,"reductive reaction, recombinant enzyme expressed from Arxula adeninivorans",Rhodococcus ruber,1.1.1.1
39,[722888],,39,recombinant enzyme expressed in Arxula adeninivorans,Rhodococcus ruber,1.1.1.1
40,[738721],,40,,Citrobacter sp.,1.1.1.1
41,[285654],,40,,Desulfovibrio gigas,1.1.1.1
42,[657302],,40,assay at,Pseudomonas aeruginosa,1.1.1.1
43,[655741],,40,Cu-ADH,Saccharomyces cerevisiae,1.1.1.1
44,[687134],,40,enzyme covalently immobilized to magnetic Fe3O4 nanoparticles via glutaraldehyde,Saccharomyces cerevisiae,1.1.1.1
45,[735841],,45,,Kluyveromyces marxianus,1.1.1.1
46,[743908],,45,assay at,Pyrococcus furiosus,1.1.1.1
47,[744545],,45,assay at,Pyrococcus furiosus,1.1.1.1
48,[746361],,45,assay at,Pyrococcus furiosus,1.1.1.1
49,[285558],50,45,,Saccharomyces cerevisiae,1.1.1.1
50,[667255],,50,,Leifsonia sp.,1.1.1.1
51,[735841],,50,,Kluyveromyces marxianus,1.1.1.1
52,[718627],,50,assay at,Sulfurisphaera tokodaii,1.1.1.1
53,[684612],,50,reaction with ethanol + NAD+,Corynebacterium glutamicum R,1.1.1.1
54,[285640],55,50,,Meyerozyma guilliermondii,1.1.1.1
55,[721395],60,50,,Oenococcus oeni,1.1.1.1
56,[688442],,55,,Devosia riboflavina,1.1.1.1
57,[735841],,55,,Kluyveromyces marxianus,1.1.1.1
58,[735498],,55,oxidation of crotyl aclohol,Yokenella sp.,1.1.1.1
59,[712962],,60,,Geobacillus thermodenitrificans,1.1.1.1
60,[738990],,60,enzyme expressed in Pyrococcus furiosus,Thermoanaerobacter ethanolicus,1.1.1.1
61,[655735],,65,assay at,Thermoanaerobacter brockii,1.1.1.1
62,[719428],,65,assay at,Sulfolobus acidocaldarius,1.1.1.1
63,[718681],,65,assay at,Sulfolobus acidocaldarius,1.1.1.1
64,[735498],,65,reduction of crotonaldehyde,Yokenella sp.,1.1.1.1
65,[686626],,70,,Natronomonas pharaonis,1.1.1.1
66,[721911],,70,,Carboxydothermus hydrogenoformans,1.1.1.1
67,[655262],,70,,Thermomicrobium roseum,1.1.1.1
68,[668532],,70,,Flavobacterium frigidimaris,1.1.1.1
69,[722203],,70,assay at,Pyrococcus furiosus,1.1.1.1
70,[285637],,70,above,Candida sp. (in: Saccharomycetales),1.1.1.1
71,[656475],,70,recombinant enzyme,Geobacillus stearothermophilus,1.1.1.1
72,[697669],,70,approximately 70&deg;C,Equus caballus,1.1.1.1
73,[684583],,73,,Thermus thermophilus,1.1.1.1
74,[700124],,75,,Thermoplasma acidophilum,1.1.1.1
75,[719428],,75,,Sulfolobus acidocaldarius,1.1.1.1
76,[718681],,78,the reaction rate increases up to 78&deg;C and then decreases rapidly due to thermal inactivation,Sulfolobus acidocaldarius,1.1.1.1
77,[726769],,80,,Haloferax volcanii,1.1.1.1
78,[742472],,80,,Pyrobaculum calidifontis,1.1.1.1
79,[725194],,80,assay at,Saccharolobus solfataricus,1.1.1.1
80,[684620],,83,,Picrophilus torridus,1.1.1.1
81,[718627],,85,,Sulfurisphaera tokodaii,1.1.1.1
82,[697669],,85,approximately 85&deg;C,Thermoanaerobacter brockii,1.1.1.1
83,[735486],,90,,Thermococcus kodakarensis,1.1.1.1
84,[728012],,95,catalytic activity increased up to 95&deg;C,Aeropyrum pernix,1.1.1.1
85,[667266],,100,,Pyrococcus furiosus,1.1.1.1
86,[654438],,25,assay at,Mus musculus,1.1.1.10
87,[654438],,25,assay at,Homo sapiens,1.1.1.10
88,[655222],,25,assay at,Rattus norvegicus,1.1.1.10
89,[656049],,25,assay at,Homo sapiens,1.1.1.10
90,[657322],,25,assay at,Homo sapiens,1.1.1.10
91,[656049],,25,assay at,Mus musculus,1.1.1.10
92,[656049],,25,assay at,Rattus norvegicus,1.1.1.10
93,[656049],,25,assay at,Cavia porcellus,1.1.1.10
94,[656049],,25,assay at,Mesocricetus auratus,1.1.1.10
95,[656206],,30,assay at,Ambrosiozyma monospora,1.1.1.10
96,[684552],,37,reductase activity,Neurospora crassa,1.1.1.10
97,[740206],,50,,Chlorella sorokiniana,1.1.1.10
98,[667257],,22,assay at room temperature,Escherichia coli,1.1.1.100
99,[668574],,22,assay at room temperature,Plasmodium falciparum,1.1.1.100
100,[667257],,22,assay at room temperature,Pseudomonas sp.,1.1.1.100
101,[667708],,25,assay at,Mycobacterium tuberculosis,1.1.1.100
102,[724676],,25,assay at,Mycobacterium tuberculosis,1.1.1.100
103,[667520],,25,assay at,Plasmodium falciparum,1.1.1.100
104,[667646],,30,assay at,Streptococcus pneumoniae,1.1.1.100
105,[693287],,30,assay at,Pseudomonas putida,1.1.1.100
106,[669013],,37,assay at,Escherichia coli,1.1.1.100
107,[701783],,44,,Synechococcus elongatus PCC 7942 = FACHB-805,1.1.1.100
108,[704337],,45,,Escherichia coli,1.1.1.100
109,[285691],,40,,Saccharomyces cerevisiae,1.1.1.101
