,biology,posterior_mean,q_0.01,q_0.5,q_0.99
0,Bos taurus|1.1.1.14|Q58D31|D-Fructose,-2.133375672634375,-6.0704201,-2.576355,4.762482599999993
1,Bos taurus|1.1.1.14|Q58D31|D-Mannitol,2.7899077915687496,-3.5580901000000003,3.5951449999999996,5.9179132999999995
2,Bos taurus|1.1.1.14|Q58D31|D-Ribulose,2.7677802614625,-4.3585517,3.442915,6.575748899999994
3,Bos taurus|1.1.1.14|Q58D31|D-Sorbitol,2.0098991493375,-0.09208934499999999,2.05538,3.4928373999999973
4,Bos taurus|1.1.1.14|Q58D31|L-Iditol,1.838995297665625,-3.7493606,2.2090699999999996,4.4134683999999975
5,Bos taurus|1.1.1.14|Q58D31|L-Sorbose,2.343703609326875,-4.672173399999999,2.70545,7.0639132999999905
6,Bos taurus|1.1.1.14|Q58D31|L-Threitol,2.7825259352590628,-4.346455,3.5175549999999998,6.5167645
7,Bos taurus|1.1.1.14|Q58D31|NAD+,-2.33037452603125,-3.6125686999999997,-2.35772,-0.7127548100000018
8,Bos taurus|1.1.1.14|Q58D31|NADH,-2.6838312916562495,-4.375937,-2.71543,-0.7362089600000027
9,Bos taurus|1.1.1.14|Q58D31|Ribitol,2.5726086879718753,-3.7539732999999997,3.07887,5.363770099999997
10,Bos taurus|1.1.1.14|Q58D31|Xylitol,1.17150858917375,-0.91094457,1.23681,2.790107399999999
11,"Bos taurus|1.1.1.188|P52897|(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate",-4.171525419009376,-6.7622088,-4.34065,-0.09075719300000085
12,Bos taurus|1.1.1.188|P52897|4-Nitroacetophenone,-4.1888737490625,-5.587337799999999,-4.22389,-2.289083600000001
13,Bos taurus|1.1.1.188|P52897|4-Nitrobenzaldehyde,-2.3125451418221874,-5.2914568,-2.2647500000000003,0.17453581999999865
14,Bos taurus|1.1.1.188|P52897|5beta-Dihydrotestosterone,-3.9199741209062493,-6.634248899999999,-3.96302,-0.8905559900000052
15,"Bos taurus|1.1.1.188|P52897|9,10-Phenanthrenedione",-6.0991592666875,-8.6997728,-6.516705,-0.6150873200000021
16,"Bos taurus|1.1.1.188|P52897|9,10-Phenanthroquinone",-5.4590724549375,-7.8304213,-5.6671700000000005,-1.4238684000000044
17,Bos taurus|1.1.1.188|P52897|Cyclohexanone,-2.8627859893187497,-5.5924796,-2.8949550000000004,0.14484569999998667
18,Bos taurus|1.1.1.188|P52897|D-Xylose,2.0157386530812498,-4.717281,2.476865,5.662980499999995
19,Bos taurus|1.1.1.188|P52897|Glyceraldehyde,-2.045763279225,-4.9548485,-2.0210600000000003,0.6243896699999999
20,Bos taurus|1.1.1.188|P52897|Hydrindantin,-4.57102675971875,-6.618519099999999,-4.582125,-2.0222809000000015
21,Bos taurus|1.1.1.188|P52897|Menadione,-3.6496388648593747,-6.1919889,-3.7780750000000003,-0.19226464000000826
22,Bos taurus|1.1.1.188|P52897|NADH,-0.791019978028125,-4.8800762,-0.594445,1.6268412999999906
23,Bos taurus|1.1.1.188|P52897|NADPH,-4.7905237265625,-7.4037179,-4.85665,-1.5542916000000038
24,Bos taurus|1.1.1.188|P52897|Phenylglyoxal,-3.2857771190625,-5.0837205999999995,-3.282405,-1.4960541
25,Bos taurus|1.1.1.188|P52897|Prostaglandin A2,-1.5175516487265626,-4.3009578,-1.48799,1.0385671999999924
26,Bos taurus|1.1.1.188|P52897|Prostaglandin D1,-4.46978492928125,-6.9941147,-4.62832,-0.8001586000000048
27,Bos taurus|1.1.1.188|P52897|Prostaglandin D2,-4.3158912125,-8.178503500000001,-4.16589,-1.465352600000004
28,Bos taurus|1.1.1.188|P52897|Prostaglandin D3,-4.618242426125001,-7.0835305,-4.79988,-0.5983149200000025
29,Bos taurus|1.1.1.188|P52897|Prostaglandin H2,-4.009988640937499,-5.685268600000001,-4.0286,-2.004554000000003
30,Bos taurus|1.1.1.188|P52897|Prostaglandin J2,-1.5612287316187499,-4.5346913,-1.5268000000000002,0.942485279999994
31,Bos taurus|1.1.1.188|P52897|delta-12-PGJ2,-0.7144075633459376,-4.602480399999999,-0.641886,2.0984350999999974
32,Bos taurus|1.1.1.188|P52897|p-Nitrobenzaldehyde,-3.75111474763125,-6.0712032,-3.886615,-0.21943454000001913
33,Bos taurus|1.1.1.19||D-Galactose,-1.7914733669218754,-5.2391341,-2.401395,5.5288686999999985
34,Bos taurus|1.1.1.2|Q3ZCJ2|3-Chlorobenzaldehyde,-3.7382708446875,-6.2936584,-4.109135,1.2149525999999882
35,Bos taurus|1.1.1.2|Q3ZCJ2|3-Methoxybenzaldehyde,-3.3669205686250008,-5.9933928,-3.423235,-0.27706273000000087
36,Bos taurus|1.1.1.2|Q3ZCJ2|4-Carboxybenzaldehyde,-4.861898387999999,-7.5452183,-5.0530349999999995,-0.29966136000001503
37,Bos taurus|1.1.1.2|Q3ZCJ2|4-Cyanobenzaldehyde,-4.70887705209375,-7.2767622,-4.8712800000000005,-0.6511465100000009
38,Bos taurus|1.1.1.2|Q3ZCJ2|4-Hydroxyphenylacetaldehyde,-2.74065285221875,-5.5547607999999995,-2.7847,0.24766467999998137
39,Bos taurus|1.1.1.2|Q3ZCJ2|4-Hydroxyphenylglycolaldehyde,-3.7571588344375004,-6.3677638,-3.8644049999999996,0.06491997199999419
40,Bos taurus|1.1.1.2|Q3ZCJ2|4-Methoxybenzaldehyde,-1.9600368600231253,-4.5476695,-1.9443700000000002,0.6774748699999902
41,Bos taurus|1.1.1.2|Q3ZCJ2|4-Nitrobenzaldehyde,0.9464113870156251,-3.4057215000000003,1.003875,4.713167799999997
42,Bos taurus|1.1.1.2|Q3ZCJ2|4-Tolualdehyde,-1.8491800074937499,-4.552890499999999,-2.061655,2.749101899999995
43,Bos taurus|1.1.1.2|Q3ZCJ2|Benzaldehyde,-4.55684750125,-6.6509917000000005,-4.503415,-2.8395333000000007
44,Bos taurus|1.1.1.21|P16116|2-Deoxy-D-glucose,0.7820781770290623,-0.96532188,0.6933480000000001,3.110975499999999
45,Bos taurus|1.1.1.21|P16116|2-Fluoro-D-glucose,-0.7193017997775,-3.6529151,-0.7429475,2.248077199999996
46,Bos taurus|1.1.1.21|P16116|3-Fluoro-D-glucose,0.8822363938025001,-2.2226597999999997,0.9360115,3.5907280999999984
47,Bos taurus|1.1.1.21|P16116|4-Fluoro-D-glucose,-2.1328896359218747,-3.9022460999999997,-2.239705,0.5550513099999935
48,Bos taurus|1.1.1.21|P16116|5-Thio-D-glucose,-0.93608218099375,-3.0609869,-0.8974,1.0273860999999964
49,Bos taurus|1.1.1.21|P16116|6-Deoxy-D-sorbitol,-1.9391842218812503,-5.851401,-1.712205,0.5985937599999952
50,Bos taurus|1.1.1.21|P16116|6-Fluoro-D-glucose,0.5648820165312499,-3.8295064,0.7632875,3.159906499999997
51,Bos taurus|1.1.1.21|P16116|D-Galactose,2.5929630665156247,-4.222409,3.1441600000000003,5.6817424999999995
52,Bos taurus|1.1.1.21|P16116|D-Glucose,-0.35791136395250006,-2.6582375000000003,-0.3810325,2.2569014
53,Bos taurus|1.1.1.21|P16116|NADPH,-4.0401455550000005,-6.991929300000001,-4.080305,-0.7557466400000097
54,Bos taurus|1.1.1.27|P19858|L-Lactate,0.7823092443874999,-3.1892974,0.9253875,3.7608343999999954
55,Bos taurus|1.1.1.27|P19858|Pyruvate,-1.47433583193125,-4.594345,-1.351265,0.8121487299999955
56,Bos taurus|1.1.1.27|Q5E9B1|L-Lactate,1.3784308569225001,-3.0456106,1.6572,3.853553499999989
57,Bos taurus|1.1.1.27|Q5E9B1|Pyruvate,-1.7506115357062497,-4.1111645999999995,-1.7816100000000001,0.8476218499999979
58,Bos taurus|1.1.1.284|Q3ZC42|Formaldehyde,-3.876188869478125,-6.4417348,-3.9716899999999997,-0.2758451500000015
59,Bos taurus|1.1.1.284|Q3ZC42|S-(Hydroxymethyl)glutathione,-3.116391534534375,-5.4213827000000006,-3.225105,-0.04266850100000263
60,Bos taurus|1.1.1.30|Q02337|(R)-3-Hydroxybutanoate,-0.0610638016328125,-1.9794693,-0.0651823,1.972650299999996
61,Bos taurus|1.1.1.30|Q02337|NAD+,-1.4217795670134377,-3.6242259000000003,-1.38601,0.4149549099999986
62,Bos taurus|1.1.1.37|Q32LG3|L-Malate,-0.7257600248593751,-2.5935093,-0.766818,1.4331114999999994
63,Bos taurus|1.1.1.37|Q32LG3|NAD+,-2.539309251,-4.2264479999999995,-2.5530049999999997,-0.6291397600000009
64,Bos taurus|1.1.1.37|Q32LG3|NADH,-2.479878918875,-4.7026580000000004,-2.37395,-0.7628463000000025
65,Bos taurus|1.1.1.37|Q32LG3|Oxaloacetate,-3.0923713993750006,-5.1285811,-3.045125,-1.4040128000000003
66,"Bos taurus|1.1.1.41||2'',3''-dideoxy-ADP",-2.8077567915281247,-5.2731017,-2.84667,0.02812683199999177
67,Bos taurus|1.1.1.41||2''-O-methyl-ADP,-1.064948547271875,-3.8102972,-1.00372,1.3329268999999997
68,Bos taurus|1.1.1.41||2-NH2-ADP,-1.4247315958593751,-4.3174488,-1.38352,1.2322061999999967
69,Bos taurus|1.1.1.41||3''-deoxy-ADP,-0.93241717554375,-4.006393200000001,-0.8661945,1.5675426999999922
70,Bos taurus|1.1.1.41||7-Deazaadenosine 5''-diphosphate,-2.591099938615625,-5.2185395,-2.6305500000000004,0.07144743999999972
71,Bos taurus|1.1.1.41||ADP,-1.6258919821296873,-4.0777541,-1.6443050000000001,0.9875838
72,Bos taurus|1.1.1.41||ADP-alpha-S,-2.058743935865625,-4.8373691,-2.06746,0.5914468999999983
73,Bos taurus|1.1.1.41||ADP-amide,-1.0214629106756248,-4.1646253,-0.9592745,1.4247858999999876
74,Bos taurus|1.1.1.41||ADP-beta-S,-2.155081822103125,-4.9710116,-2.145275,0.633503459999999
75,Bos taurus|1.1.1.41||D-ara-ADP,-1.600883056225,-4.1823277,-1.58825,0.784352359999995
76,Bos taurus|1.1.1.41||D-threo-Isocitrate,-1.5845087620312501,-3.4126623,-1.55411,-0.061958940000002224
77,Bos taurus|1.1.1.41||NAD+,-2.0381462462499997,-3.0933325,-2.044505,-0.9928973700000019
78,Bos taurus|1.1.1.41||dADP,-1.41267920414375,-4.2251757,-1.377625,1.0011146999999991
79,Bos taurus|1.1.1.42|Q9XSG3|Isocitrate,-4.7467647812500005,-6.4146076999999995,-4.79683,-2.778841500000003
80,Bos taurus|1.1.1.42|Q9XSG3|Mn2+,-4.409661393709375,-6.6188076,-4.56177,-0.7967897500000024
81,Bos taurus|1.1.1.42|Q9XSG3|NADP+,-4.35235458125,-5.993727799999999,-4.36964,-2.7925657
82,"Bos taurus|1.1.1.47||D-Glucono-1,5-lactone",0.8280536136340625,-3.8363829,1.03809,3.2711289
83,Bos taurus|1.1.1.47||D-Glucose,4.1640719125,2.9934103000000003,4.170640000000001,5.266002499999999
84,Bos taurus|1.1.1.47||D-Glucose 6-phosphate,-3.2864208596875,-5.7979451,-3.19735,-1.0194121300000083
85,Bos taurus|1.1.1.47||Glucose 6-phosphate,-4.928841021249999,-6.824952,-4.94475,-2.7957451000000066
86,Bos taurus|1.1.1.47||NAD+,-5.1483311125,-6.4405949,-5.15081,-3.880394200000001
87,Bos taurus|1.1.1.47||NADH,-2.6684138467,-5.2167618000000004,-2.641425,-0.37515179000000437
88,Bos taurus|1.1.1.47||NADP+,-5.503818465625,-6.7981261,-5.54699,-3.8051065
89,Bos taurus|1.1.1.47||beta-D-Glucose,3.680340301875,1.7774212,3.7344600000000003,5.291079299999987
90,Bos taurus|1.1.1.81||3-Hydroxypyruvate,-3.30378758164375,-6.3816564,-3.762805,2.3160745999999945
91,Bos taurus|1.1.1.81||Glycerate,-0.154803498314375,-4.102706599999999,-0.0122609,2.4764198999999927
92,Bos taurus|1.1.1.81||NAD+,-1.9722151721062502,-3.7926605,-2.03103,0.108885959999998
93,Bos taurus|1.1.1.81||NADH,-2.718999634184375,-4.296386399999999,-2.697985,-1.141288400000007
94,Bos taurus|1.1.1.81||NADP+,-3.8193335330875002,-6.1637116999999995,-3.766915,-1.675945200000008
95,Bos taurus|1.1.1.81||NADPH,-6.1511633375,-7.7785908,-6.182155,-4.197690200000001
96,"Bos taurus|1.1.1.96||3,5-Diiodo-4-hydroxyphenylpyruvate",-2.9807062681125003,-5.5700387000000005,-3.033665,0.08298758899998826
97,Bos taurus|1.1.1.96||3-(4-Hydroxyphenyl)pyruvate,0.2338990479548125,-2.7887394,0.3229845,2.6099543999999986
98,Bos taurus|1.1.1.96||NADH,-2.9874345806875,-5.453834199999999,-2.97682,-0.45381818000000285
99,Bos taurus|1.1.1.96||Phenylpyruvate,0.8168630222875,-3.2796247000000003,1.028645,3.2495987999999993
100,Bos taurus|1.11.1.6|P00432|H2O2,3.8502913076562497,0.79166458,3.98933,5.804497799999997
101,Bos taurus|1.11.1.7|P80025|N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester,-1.464904637476875,-4.3686524,-1.431725,1.3158313
102,Bos taurus|1.11.1.7|P80025|N-Acetyl-L-tryptophanamide,0.3131617017265625,-3.5643124,0.435646,2.707195899999998
103,Bos taurus|1.11.1.7|P80025|N-Acetyl-L-tryptophanethylester,-0.6481356016406251,-4.1515331,-0.5371185,2.1355103999999976
104,Bos taurus|1.14.14.18|Q5E9F2|Heme,-6.223445446875001,-7.6931475,-6.338010000000001,-3.8830656000000054
105,Bos taurus|1.14.14.18|Q5E9F2|Heme c,-3.3063115236875,-5.8211973,-3.37688,-0.2667138400000107
106,Bos taurus|1.14.14.18|Q5E9F2|NADH,-0.3292401830128563,-4.7748585,-0.05679695,2.051727999999998
107,Bos taurus|1.14.14.18|Q5E9F2|NADPH,-3.8086727053125005,-6.3721649,-3.810155,-1.3760471000000014
108,Bos taurus|1.14.17.1|P15101|N-(4-Chlorophenyl)-N'-hydroxyguanidine,-1.010220508935,-4.4611771000000005,-0.9354425,1.7151878999999846
109,Bos taurus|1.14.17.1|P15101|N-(4-Methoxyphenyl)-N'-hydroxyguanidine,0.7650018940503125,-3.3707708000000003,0.9505939999999999,3.2337232999999985
110,Bos taurus|1.14.18.1|P02638|D-Dopa,-1.20049890880375,-3.2344153,-1.247875,1.1713309999999955
111,Bos taurus|1.14.18.1|P02638|L-Adrenaline,-2.95984585546875,-4.870046,-3.083485,-0.226360310000003
112,Bos taurus|1.14.18.1|P02638|L-Dopa,-1.3410788944928123,-3.394711,-1.3599649999999999,0.8977443899999957
113,Bos taurus|1.14.18.1|P02638|L-Noradrenaline,-3.36049020925,-5.3983414000000005,-3.4791999999999996,-0.4967254700000054
114,Bos taurus|1.14.18.1|Q8MIU0|D-Dopa,-0.4550991702090625,-3.0163770999999997,-0.3473805,1.4551059999999993
115,Bos taurus|1.14.18.1|Q8MIU0|L-Adrenaline,-1.9773581635250002,-4.6976619,-1.88523,0.05834579499999884
116,Bos taurus|1.14.18.1|Q8MIU0|L-Dopa,-1.0088698750212501,-3.2334131999999998,-0.9796895,1.1196945999999992
117,Bos taurus|1.14.18.1|Q8MIU0|L-Noradrenaline,-2.6938632554375,-5.2421548,-2.63889,-0.5883966200000019
118,Bos taurus|1.17.1.4|P80457|NAD+,1.5825466168156248,-3.8624892999999996,2.038115,4.554465399999998
119,Bos taurus|1.17.1.4|P80457|Xanthine,0.590051182276875,-5.1609748,1.0848499999999999,3.562358699999998
120,"Bos taurus|1.17.3.2|P80457|2,3-Dihydroxybenzaldehyde",-3.1934647667812497,-5.8194274,-3.23319,-0.10569965600000307
121,Bos taurus|1.17.3.2|P80457|2-Aminopurine,-4.72440895125,-6.833769899999999,-4.74441,-2.3895920000000044
122,Bos taurus|1.17.3.2|P80457|2-Aminopurine 2'-deoxyribonucleoside,-0.5615122749465624,-3.1561236,-0.48319049999999997,1.4709619999999977
123,Bos taurus|1.17.3.2|P80457|2-Aminopurine arabinonucleoside,1.066055683015625,-1.714864,1.16836,3.0498208999999994
124,Bos taurus|1.17.3.2|P80457|2-Aminopurine ribonucleoside,0.7138469905725,-2.1379221000000004,0.833595,2.6012945999999957
125,Bos taurus|1.17.3.2|P80457|6'-Deoxyacyclovir,-0.7380140803886563,-3.4041975,-0.634084,1.1188825999999985
126,Bos taurus|1.17.3.2|P80457|6-Deoxypenciclovir,-0.5302638194878125,-2.9766559,-0.454948,1.3704061999999997
127,Bos taurus|1.17.3.2|P80457|6-Methylaminopurine,-1.520029828346875,-3.715036,-1.4850050000000001,0.4733997899999953
128,Bos taurus|1.17.3.2|P80457|Allopurinol,-5.787293625,-7.6722592,-5.875425,-3.2462817000000035
129,Bos taurus|1.17.3.2|P80457|Hypoxanthine,-4.80168613,-6.727207,-4.85078,-2.424423200000001
130,Bos taurus|1.17.3.2|P80457|NADH,-0.8713318703234375,-4.9175624000000004,-0.6771255,1.3953064999999991
131,Bos taurus|1.17.3.2|P80457|Nitrite,0.20543742012161562,-3.8983087999999997,0.444472,2.600646399999999
132,Bos taurus|1.17.3.2|P80457|Purine,-5.911033303218749,-8.5937186,-6.309915,-0.614803800000005
133,Bos taurus|1.17.3.2|P80457|Purine nucleoside,0.5136541021340625,-2.6853933,0.6693290000000001,2.534893099999996
134,Bos taurus|1.17.3.2|P80457|Xanthine,-4.5093733590937495,-6.7306362,-4.599435,-1.115484500000015
135,Bos taurus|1.2.1.3|P20000|Acetaldehyde,-1.7026696083218753,-3.2425013000000003,-1.73746,0.1499173399999946
136,Bos taurus|1.2.1.3|P20000|D-Glyceraldehyde,-1.6172264613090628,-4.3136497,-1.663195,1.313618199999999
137,Bos taurus|1.2.1.3|P20000|L-Glyceraldehyde,-1.9616819583008125,-4.9219376,-1.907585,0.6101083299999989
138,Bos taurus|1.2.1.3|P20000|NAD+,-3.3088248728125005,-5.2610359,-3.27067,-1.8010535000000032
139,Bos taurus|1.2.1.3||Acetaldehyde,-1.3942500605675001,-2.7356099,-1.363305,-0.2903251900000032
140,Bos taurus|1.2.1.3||Glyceraldehyde,-4.292646515625,-5.6436792,-4.4143,-1.9491671000000015
141,Bos taurus|1.2.1.3||Glycerate 3-phosphate,-1.1332343382749999,-3.9259893,-1.094675,1.413828399999997
142,Bos taurus|1.2.1.3||Glycolaldehyde,-1.9551141275625,-4.431825300000001,-1.89472,-0.06465480100000136
143,Bos taurus|1.2.1.3||Malondialdehyde,-2.25450484511875,-5.5297914,-2.190165,0.4217352299999995
144,Bos taurus|1.2.1.3||NAD+,-3.533300871875,-4.658511699999999,-3.50927,-2.6227553
145,Bos taurus|1.2.1.3||Phenylacetaldehyde,-4.789434746875,-6.2475913,-4.858255,-2.9180275000000013
146,Bos taurus|1.2.1.3||Propanal,-3.991406234375,-5.2454387,-3.97364,-2.778472100000007
147,Bos taurus|1.2.1.3||Succinate semialdehyde,0.28490332879124997,-1.8495016,0.333444,1.8895049999999984
148,Bos taurus|1.2.1.3||p-Nitrobenzaldehyde,0.5199714166,-5.1205482,0.831411,3.9899633999999993
149,Bos taurus|1.2.1.88|A7YWE4|NAD+,-1.7611880180937498,-3.8484909999999997,-1.748105,0.41688626999999634
150,Bos taurus|1.2.4.1 2.3.1.12 1.8.1.4|F1N206|CoA,-3.627127363571875,-6.019121999999999,-3.723065,-0.5280673200000132
151,Bos taurus|1.2.4.1 2.3.1.12 1.8.1.4|F1N206|NAD+,-2.96080226815625,-5.097770799999999,-2.90382,-1.0577188000000057
152,Bos taurus|1.2.4.1 2.3.1.12 1.8.1.4|F1N206|Pyruvate,-2.96339908521875,-4.7477932,-3.017425,-0.96316382
153,Bos taurus|1.2.4.4 2.3.1.168||2-Oxobutyrate,-2.241660678534375,-4.4346989,-2.4016450000000003,1.299912099999996
154,Bos taurus|1.2.4.4 2.3.1.168||2-Oxoisocaproate,-2.8444801973250002,-5.3544095,-2.89027,-0.10989587100000621
155,Bos taurus|1.2.4.4 2.3.1.168||3-Methyl-2-oxopentanoate,-2.9658711011562504,-4.821465900000001,-3.14981,0.5935279099999963
156,Bos taurus|1.2.4.4 2.3.1.168||Pyruvate,-0.26920385780031253,-1.9235555999999998,-0.24796200000000002,1.2192914999999953
157,Bos taurus|1.2.4.4 2.3.1.168||alpha-Ketoisovalerate,-3.3223781868749995,-4.9165845,-3.33262,-1.689692800000008
158,"Bos taurus|1.21.99.4|Q9BDR5|3,3',5'-Triiodothyronine",-7.956221196875001,-9.7818051,-7.977695,-5.814971900000005
159,Bos taurus|1.3.5.2|Q5E9W3|Benzyl-S-dihydroorotate,-3.943407123378125,-6.1988381,-4.02267,-0.8144769300000019
160,Bos taurus|1.3.5.2|Q5E9W3|L-Dihydroorotate,-4.677422440625,-5.9421938,-4.683225,-3.269430600000001
